Country,Date,Confirmed,Recovered,Deaths
Turkey,2022-01-12,10195676,0,84125
Turkey,2022-01-13,10271240,0,84278
Turkey,2022-01-14,10339097,0,84278
Turkey,2022-01-15,10403064,0,84622
Turkey,2022-01-16,10457164,0,84758
Turkey,2022-01-17,10522099,0,84920
Turkey,2022-01-18,10591757,0,85077
Turkey,2022-01-19,10664372,0,85253
Turkey,2022-01-20,10736215,0,85419
Turkey,2022-01-21,10808770,0,85600
Turkey,2022-01-22,10881626,0,85784
Turkey,2022-01-23,10947129,0,85969
Turkey,2022-01-24,11014152,0,86125
Turkey,2022-01-25,11090493,0,86299
Turkey,2022-01-26,11167927,0,86487
Turkey,2022-01-27,11250107,0,86661
Turkey,2022-01-28,11343693,0,86871
Turkey,2022-01-29,11438476,0,87045
Turkey,2022-01-30,11526621,0,87234
Turkey,2022-01-31,11619882,0,87416
Turkey,2022-02-01,11722483,0,87614
Turkey,2022-02-02,11833165,0,87831
Turkey,2022-02-03,11940695,0,88064
Turkey,2022-02-04,12051852,0,88312
Turkey,2022-02-05,12150567,0,88533
Turkey,2022-02-06,12238501,0,88734
Turkey,2022-02-07,12335015,0,88970
Turkey,2022-02-08,12446111,0,89211
Turkey,2022-02-09,12554674,0,89477
Turkey,2022-02-10,12653276,0,89741
Turkey,2022-02-11,12748341,0,89994
Turkey,2022-02-12,12834534,0,90266
Turkey,2022-02-13,12908321,0,90542
Turkey,2022-02-14,12984953,0,90808
Turkey,2022-02-15,13079683,0,91117
Turkey,2022-02-16,13173859,0,91388
Turkey,2022-02-17,13266265,0,91646
Turkey,2022-02-18,13353676,0,91910
Turkey,2022-02-19,13434130,0,92188
Turkey,2022-02-20,13504485,0,92451
Turkey,2022-02-21,13589511,0,92719
Turkey,2022-02-22,13675581,0,92990
Turkey,2022-02-23,13762181,0,93258
Turkey,2022-02-24,13841889,0,93539
Turkey,2022-02-25,13913625,0,93805
Turkey,2022-02-26,13975389,0,94026
Turkey,2022-02-27,14025181,0,94232
Turkey,2022-02-28,14089456,0,94445
Turkey,2022-03-01,14149341,0,94648
Turkey,2022-03-02,14206121,0,94837
Turkey,2022-03-03,14255545,0,95025
Turkey,2022-03-04,14293828,0,95205
Turkey,2022-03-05,14326217,0,95379
Turkey,2022-03-06,14353888,0,95549
Turkey,2022-03-07,14388231,0,95681
Turkey,2022-03-08,14425638,0,95811
Turkey,2022-03-09,14458881,0,95954
Turkey,2022-03-10,14488373,0,96094
Turkey,2022-03-11,14513774,0,96217
Turkey,2022-03-12,14534239,0,96349
Turkey,2022-03-13,14551665,0,96487
Turkey,2022-03-14,14576069,0,96620
Turkey,2022-03-15,14600683,0,96735
Turkey,2022-03-16,14623028,0,96853
Turkey,2022-03-17,14644382,0,96954
Turkey,2022-03-18,14663508,0,97077
Turkey,2022-03-19,14680836,0,97182
Turkey,2022-03-20,14693917,0,97267
Turkey,2022-03-21,14708850,0,97347
Turkey,2022-03-22,14726276,0,97437
Turkey,2022-03-23,14743437,0,97521
Turkey,2022-03-24,14760331,0,97598
Turkey,2022-03-25,14775634,0,97666
Turkey,2022-03-26,14789483,0,97736
Turkey,2022-03-27,14800677,0,97800
Turkey,2022-03-28,14815041,0,97861
Turkey,2022-03-29,14831231,0,97924
Turkey,2022-03-30,14846224,0,97977
Turkey,2022-03-31,14860560,0,98033
Turkey,2022-04-01,14873927,0,98078
Turkey,2022-04-02,14885710,0,98119
Turkey,2022-04-03,14894731,0,98157
Turkey,2022-04-04,14907378,0,98197
Turkey,2022-04-05,14919591,0,98234
Turkey,2022-04-06,14929905,0,98275
Turkey,2022-04-07,14939259,0,98311
Turkey,2022-04-08,14946379,0,98342
Turkey,2022-04-09,14953365,0,98377
Turkey,2022-04-10,14958974,0,98409
Turkey,2022-04-11,14965867,0,98437
Turkey,2022-04-12,14972502,0,98462
Turkey,2022-04-13,14978031,0,98493
Turkey,2022-04-14,14983158,0,98514
Turkey,2022-04-15,14987583,0,98532
Turkey,2022-04-16,14991669,0,98551
Turkey,2022-04-17,14994937,0,98568
Turkey,2022-04-18,14999479,0,98587
Turkey,2022-04-19,15003696,0,98610
Turkey,2022-04-20,15007364,0,98628
Turkey,2022-04-21,15010718,0,98645
Turkey,2022-04-22,15013616,0,98660
Turkey,2022-04-23,15016270,0,98676
Turkey,2022-04-24,15018547,0,98691
Turkey,2022-04-25,15021151,0,98706
Turkey,2022-04-26,15023662,0,98720
Turkey,2022-04-27,15026141,0,98736
Turkey,2022-04-28,15028397,0,98751
Turkey,2022-04-29,15030321,0,98760
Turkey,2022-04-30,15032093,0,98771
Turkey,2022-05-01,15033573,0,98783
Turkey,2022-05-02,15034917,0,98791
Turkey,2022-05-03,15036110,0,98801
Turkey,2022-05-04,15037242,0,98808
Turkey,2022-05-05,15038495,0,98819
Turkey,2022-05-06,15040238,0,98826
Turkey,2022-05-07,15041899,0,98837
Turkey,2022-05-08,15043379,0,98846
Turkey,2022-05-09,15044921,0,98854
Turkey,2022-05-10,15046779,0,98861
Turkey,2022-05-11,15048449,0,98870
Turkey,2022-05-12,15050227,0,98878
Turkey,2022-05-13,15051761,0,98885
Turkey,2022-05-14,15053168,0,98890
Turkey,2022-05-15,15054322,0,98900
Turkey,2022-05-16,15055576,0,98904
Turkey,2022-05-17,15057184,0,98911
Turkey,2022-05-18,15058627,0,98914
Turkey,2022-05-19,15060112,0,98918
Turkey,2022-05-20,15060112,0,98918
United States,2020-01-22,1,0,0
United States,2020-01-23,1,0,0
United States,2020-01-24,2,0,0
United States,2020-01-25,2,0,0
United States,2020-01-26,5,0,0
United States,2020-01-27,5,0,0
United States,2020-01-28,5,0,0
United States,2020-01-29,6,0,0
United States,2020-01-30,6,0,0
United States,2020-01-31,8,0,0
United States,2020-02-01,8,0,0
United States,2020-02-02,8,0,0
United States,2020-02-03,11,0,0
United States,2020-02-04,11,0,0
United States,2020-02-05,11,0,0
United States,2020-02-06,12,0,0
United States,2020-02-07,12,0,0
United States,2020-02-08,12,0,0
United States,2020-02-09,12,3,0
United States,2020-02-10,12,3,0
United States,2020-02-11,13,3,0
United States,2020-02-12,13,3,0
United States,2020-02-13,14,3,0
United States,2020-02-14,14,3,0
United States,2020-02-15,14,3,0
United States,2020-02-16,14,3,0
United States,2020-02-17,14,3,0
United States,2020-02-18,14,3,0
United States,2020-02-19,14,3,0
United States,2020-02-20,14,3,0
United States,2020-02-21,16,5,0
United States,2020-02-22,16,5,0
United States,2020-02-23,16,5,0
United States,2020-02-24,16,5,0
United States,2020-02-25,16,6,0
United States,2020-02-26,16,6,0
United States,2020-02-27,17,6,0
United States,2020-02-28,17,7,0
United States,2020-02-29,25,7,1
United States,2020-03-01,32,7,1
United States,2020-03-02,55,7,6
United States,2020-03-03,74,7,7
United States,2020-03-04,107,7,11
United States,2020-03-05,184,7,12
United States,2020-03-06,237,7,14
United States,2020-03-07,403,7,17
United States,2020-03-08,519,7,21
United States,2020-03-09,594,7,22
United States,2020-03-10,782,8,28
United States,2020-03-11,1147,8,33
United States,2020-03-12,1586,12,43
United States,2020-03-13,2219,12,51
United States,2020-03-14,2978,12,58
United States,2020-03-15,3212,12,70
United States,2020-03-16,4679,17,97
United States,2020-03-17,6512,17,134
United States,2020-03-18,9169,105,194
United States,2020-03-19,13663,121,266
United States,2020-03-20,20030,147,372
United States,2020-03-21,26025,176,475
United States,2020-03-22,34944,178,603
United States,2020-03-23,46096,178,790
United States,2020-03-24,56714,348,1033
United States,2020-03-25,68841,361,1366
United States,2020-03-26,86662,681,1783
United States,2020-03-27,105253,869,2305
United States,2020-03-28,127417,1072,3018
United States,2020-03-29,143544,2665,3573
United States,2020-03-30,165698,5644,4280
United States,2020-03-31,192079,7024,5359
United States,2020-04-01,223254,8474,6611
United States,2020-04-02,255530,9001,8142
United States,2020-04-03,287931,9707,9562
United States,2020-04-04,319776,14652,11165
United States,2020-04-05,349016,17448,12781
United States,2020-04-06,380798,19581,14523
United States,2020-04-07,410834,21763,17099
United States,2020-04-08,441897,23559,19249
United States,2020-04-09,477507,25410,21463
United States,2020-04-10,511790,28790,23650
United States,2020-04-11,540714,31270,25786
United States,2020-04-12,567022,32988,27675
United States,2020-04-13,594165,43482,29660
United States,2020-04-14,622493,47763,32133
United States,2020-04-15,648390,52096,34731
United States,2020-04-16,678028,54703,36914
United States,2020-04-17,711135,58545,39009
United States,2020-04-18,738464,64840,40955
United States,2020-04-19,763886,70337,42935
United States,2020-04-20,793970,72329,45180
United States,2020-04-21,820045,75204,47662
United States,2020-04-22,849926,77366,50129
United States,2020-04-23,881891,80203,52543
United States,2020-04-24,913856,99079,54712
United States,2020-04-25,944770,100372,56446
United States,2020-04-26,970741,106988,57852
United States,2020-04-27,995391,111424,59332
United States,2020-04-28,1019964,115936,61576
United States,2020-04-29,1046816,120720,63968
United States,2020-04-30,1076518,153947,66159
United States,2020-05-01,1111410,164015,68067
United States,2020-05-02,1138174,175382,69810
United States,2020-05-03,1161907,180152,71013
United States,2020-05-04,1185709,187180,72371
United States,2020-05-05,1209728,189791,74592
United States,2020-05-06,1234210,189910,76914
United States,2020-05-07,1261949,195036,78829
United States,2020-05-08,1289132,198993,80600
United States,2020-05-09,1313586,212534,82066
United States,2020-05-10,1332332,216169,83066
United States,2020-05-11,1351409,232733,84101
United States,2020-05-12,1374791,230287,85690
United States,2020-05-13,1394806,243430,87425
United States,2020-05-14,1420696,246414,89198
United States,2020-05-15,1445547,250747,90863
United States,2020-05-16,1469597,268376,92060
United States,2020-05-17,1488326,272265,92890
United States,2020-05-18,1510634,283178,94110
United States,2020-05-19,1531137,289392,95555
United States,2020-05-20,1553963,294312,97058
United States,2020-05-21,1579115,298418,98246
United States,2020-05-22,1602944,350135,99450
United States,2020-05-23,1623133,361239,100524
United States,2020-05-24,1643307,366736,101165
United States,2020-05-25,1662401,379157,101762
United States,2020-05-26,1681127,384902,102419
United States,2020-05-27,1699890,391508,103898
United States,2020-05-28,1721158,399991,104987
United States,2020-05-29,1746240,406446,106104
United States,2020-05-30,1769320,416461,107056
United States,2020-05-31,1788239,444758,107677
United States,2020-06-01,1806079,458231,108451
United States,2020-06-02,1826169,463868,109432
United States,2020-06-03,1845325,479258,110443
United States,2020-06-04,1873259,485002,111448
United States,2020-06-05,1899699,491706,112328
United States,2020-06-06,1919968,500849,112966
United States,2020-06-07,1937794,506367,113422
United States,2020-06-08,1954693,518522,113934
United States,2020-06-09,1975014,524855,114852
United States,2020-06-10,1996733,533504,115724
United States,2020-06-11,2019011,540292,116541
United States,2020-06-12,2044569,547386,117363
United States,2020-06-13,2068726,556606,118083
United States,2020-06-14,2087627,561816,118430
United States,2020-06-15,2108626,576334,118831
United States,2020-06-16,2133175,583503,119616
United States,2020-06-17,2160225,592191,120365
United States,2020-06-18,2188452,599115,121066
United States,2020-06-19,2219506,606715,121700
United States,2020-06-20,2251332,617460,122265
United States,2020-06-21,2277168,622133,122582
United States,2020-06-22,2306969,640198,122961
United States,2020-06-23,2345698,647548,123701
United States,2020-06-24,2381949,656161,124457
United States,2020-06-25,2421248,663562,125006
United States,2020-06-26,2470295,670809,125636
United States,2020-06-27,2511049,679308,126133
United States,2020-06-28,2553974,685164,126457
United States,2020-06-29,2595270,705203,126828
United States,2020-06-30,2645093,720631,127382
United States,2020-07-01,2694216,729994,128083
United States,2020-07-02,2749159,781970,128822
United States,2020-07-03,2800664,790404,129499
United States,2020-07-04,2846609,894325,129801
United States,2020-07-05,2900337,906763,130123
United States,2020-07-06,2943502,924148,130493
United States,2020-07-07,3000732,936476,131636
United States,2020-07-08,3061038,953462,132478
United States,2020-07-09,3120694,969111,133514
United States,2020-07-10,3189553,983185,134332
United States,2020-07-11,3249992,995576,135083
United States,2020-07-12,3310124,1006326,135557
United States,2020-07-13,3369488,1031939,135992
United States,2020-07-14,3435150,1049098,136890
United States,2020-07-15,3501176,1075882,137854
United States,2020-07-16,3571990,1090645,138821
United States,2020-07-17,3638462,1107204,139741
United States,2020-07-18,3702784,1122720,140628
United States,2020-07-19,3761716,1131121,141107
United States,2020-07-20,3822379,1160087,141639
United States,2020-07-21,3890573,1182018,142727
United States,2020-07-22,3958118,1210849,143953
United States,2020-07-23,4026004,1233269,145043
United States,2020-07-24,4101151,1261624,146135
United States,2020-07-25,4165351,1279414,147106
United States,2020-07-26,4221190,1297863,147643
United States,2020-07-27,4280914,1325804,148753
United States,2020-07-28,4345744,1355363,149970
United States,2020-07-29,4409872,1389425,151414
United States,2020-07-30,4479113,1414155,152709
United States,2020-07-31,4543689,1438160,153894
United States,2020-08-01,4601267,1461885,155013
United States,2020-08-02,4648376,1468689,155475
United States,2020-08-03,4690060,1513446,156037
United States,2020-08-04,4751717,1528979,157295
United States,2020-08-05,4806065,1577851,158708
United States,2020-08-06,4866245,1598624,159891
United States,2020-08-07,4926832,1623870,161186
United States,2020-08-08,4990765,1643118,162272
United States,2020-08-09,5045032,1656864,162845
United States,2020-08-10,5096649,1670755,163367
United States,2020-08-11,5153604,1714960,164452
United States,2020-08-12,5208848,1753760,165963
United States,2020-08-13,5260504,1774648,167003
United States,2020-08-14,5330629,1796326,168312
United States,2020-08-15,5383025,1818527,169354
United States,2020-08-16,5417687,1833067,169967
United States,2020-08-17,5455536,1865580,170439
United States,2020-08-18,5500438,1898159,171669
United States,2020-08-19,5546322,1925049,172353
United States,2020-08-20,5591450,1947035,173453
United States,2020-08-21,5639041,1965056,174549
United States,2020-08-22,5684714,1985484,175511
United States,2020-08-23,5716625,1997761,176014
United States,2020-08-24,5750548,2020774,176440
United States,2020-08-25,5793221,2053699,177659
United States,2020-08-26,5835294,2084465,178817
United States,2020-08-27,5885812,2101326,179925
United States,2020-08-28,5932282,2118367,180851
United States,2020-08-29,5975384,2140614,181814
United States,2020-08-30,6009515,2153939,182255
United States,2020-08-31,6042877,2184825,182737
United States,2020-09-01,6084855,2202663,183802
United States,2020-09-02,6124816,2231757,184855
United States,2020-09-03,6169957,2266957,185877
United States,2020-09-04,6218291,2283454,186827
United States,2020-09-05,6261914,2302187,187630
United States,2020-09-06,6291033,2315995,188066
United States,2020-09-07,6315596,2333551,188385
United States,2020-09-08,6342340,2359111,188848
United States,2020-09-09,6375978,2387479,189951
United States,2020-09-10,6415426,2403511,190859
United States,2020-09-11,6460049,2417878,192001
United States,2020-09-12,6505632,2434658,192741
United States,2020-09-13,6545923,2451406,193134
United States,2020-09-14,6578488,2474570,193554
United States,2020-09-15,6615666,2495127,194748
United States,2020-09-16,6653958,2525573,195685
United States,2020-09-17,6699277,2540334,196533
United States,2020-09-18,6749462,2556465,197489
United States,2020-09-19,6795239,2577446,198151
United States,2020-09-20,6836849,2590671,198415
United States,2020-09-21,6868892,2615949,198824
United States,2020-09-22,6907163,2646959,199847
United States,2020-09-23,6948282,2670256,200895
United States,2020-09-24,6997165,2710183,201784
United States,2020-09-25,7044302,2727335,202693
United States,2020-09-26,7087849,2750459,203457
United States,2020-09-27,7121628,2766280,203759
United States,2020-09-28,7159367,2794608,204093
United States,2020-09-29,7201400,2813305,204986
United States,2020-09-30,7240032,2840688,205892
United States,2020-10-01,7286276,2860650,206787
United States,2020-10-02,7339719,2873369,207621
United States,2020-10-03,7388999,2897322,208290
United States,2020-10-04,7422130,2911699,208660
United States,2020-10-05,7459487,2935142,209130
United States,2020-10-06,7504032,2952390,209824
United States,2020-10-07,7553169,2999895,210726
United States,2020-10-08,7611059,3021252,211700
United States,2020-10-09,7666138,3039089,212666
United States,2020-10-10,7721505,3062983,213321
United States,2020-10-11,7768405,3075077,213780
United States,2020-10-12,7810485,3106728,214172
United States,2020-10-13,7860608,3124593,214943
United States,2020-10-14,7919050,3155794,215930
United States,2020-10-15,7982587,3177397,216757
United States,2020-10-16,8052761,3197539,217683
United States,2020-10-17,8107593,3220573,218468
United States,2020-10-18,8159763,3234138,218926
United States,2020-10-19,8227645,3272603,219407
United States,2020-10-20,8289382,3295148,220337
United States,2020-10-21,8350088,3323354,221495
United States,2020-10-22,8429709,3353056,222331
United States,2020-10-23,8511369,3375427,223279
United States,2020-10-24,8589745,3406656,224235
United States,2020-10-25,8650720,3422878,224680
United States,2020-10-26,8715284,3460455,225194
United States,2020-10-27,8792507,3487666,226194
United States,2020-10-28,8878983,3518140,227203
United States,2020-10-29,8970275,3554336,228190
United States,2020-10-30,9070124,3578452,229247
United States,2020-10-31,9157467,3612478,230168
United States,2020-11-01,9235297,3630579,230659
United States,2020-11-02,9317105,3674981,231215
United States,2020-11-03,9441871,3705130,232807
United States,2020-11-04,9542133,3743527,233916
United States,2020-11-05,9670214,3781751,235074
United States,2020-11-06,9797270,3810791,236281
United States,2020-11-07,9924334,3851465,237389
United States,2020-11-08,10044008,3881491,237942
United States,2020-11-09,10160964,3928845,238700
United States,2020-11-10,10297516,3961873,240107
United States,2020-11-11,10445199,3997175,241530
United States,2020-11-12,10603995,4051256,242728
United States,2020-11-13,10783512,4095146,243925
United States,2020-11-14,10947562,4148444,245285
United States,2020-11-15,11087277,4174884,246053
United States,2020-11-16,11240364,4244811,246872
United States,2020-11-17,11405011,4293640,248576
United States,2020-11-18,11576981,4350789,250489
United States,2020-11-19,11769282,4410709,252518
United States,2020-11-20,11970948,4457930,254454
United States,2020-11-21,12150766,4529700,256091
United States,2020-11-22,12297353,4526513,257145
United States,2020-11-23,12478864,4633600,258211
United States,2020-11-24,12652425,4696664,260345
United States,2020-11-25,12832636,4835956,262576
United States,2020-11-26,12949885,4871203,263981
United States,2020-11-27,13164520,4947446,265528
United States,2020-11-28,13332743,5023063,266879
United States,2020-11-29,13473088,5065030,267915
United States,2020-11-30,13628002,5146319,269228
United States,2020-12-01,13825118,5226581,271778
United States,2020-12-02,14021279,5322128,274592
United States,2020-12-03,14241504,5404018,277543
United States,2020-12-04,14476874,5470389,280153
United States,2020-12-05,14698882,5576026,282537
United States,2020-12-06,14878209,5624444,283929
United States,2020-12-07,15073669,5714557,285493
United States,2020-12-08,15300724,5786915,288064
United States,2020-12-09,15516731,5889896,291229
United States,2020-12-10,15753672,5985047,294209
United States,2020-12-11,15992577,6135314,297583
United States,2020-12-12,16217111,6246605,300092
United States,2020-12-13,16408708,6298082,301749
United States,2020-12-14,16618539,0,303405
United States,2020-12-15,16844855,0,306382
United States,2020-12-16,17079660,0,310108
United States,2020-12-17,17319907,0,313556
United States,2020-12-18,17567852,0,316492
United States,2020-12-19,17773704,0,319297
United States,2020-12-20,17960899,0,321006
United States,2020-12-21,18157760,0,322804
United States,2020-12-22,18363692,0,326102
United States,2020-12-23,18585131,0,329484
United States,2020-12-24,18798077,0,332406
United States,2020-12-25,18925253,0,333925
United States,2020-12-26,19142693,0,335832
United States,2020-12-27,19278656,0,337269
United States,2020-12-28,19451960,0,339141
United States,2020-12-29,19657933,0,342757
United States,2020-12-30,19876229,0,346647
United States,2020-12-31,20191317,0,349938
United States,2021-01-01,20370221,0,352185
United States,2021-01-02,20642503,0,354728
United States,2021-01-03,20845902,0,356159
United States,2021-01-04,21031409,0,358142
United States,2021-01-05,21264274,0,361741
United States,2021-01-06,21524039,0,365654
United States,2021-01-07,21810284,0,369676
United States,2021-01-08,22114354,0,373849
United States,2021-01-09,22379095,0,377090
United States,2021-01-10,22589938,0,379181
United States,2021-01-11,22793901,0,381019
United States,2021-01-12,23015712,0,385395
United States,2021-01-13,23245046,0,389408
United States,2021-01-14,23480622,0,393189
United States,2021-01-15,23725616,0,397013
United States,2021-01-16,23943303,0,400577
United States,2021-01-17,24119858,0,402569
United States,2021-01-18,24260687,0,404137
United States,2021-01-19,24417588,0,406533
United States,2021-01-20,24604976,0,410944
United States,2021-01-21,24797528,0,415054
United States,2021-01-22,24989303,0,418837
United States,2021-01-23,25167479,0,422374
United States,2021-01-24,25307624,0,424219
United States,2021-01-25,25437224,0,425987
United States,2021-01-26,25588233,0,429962
United States,2021-01-27,25743689,0,434052
